Stage,Algorithm,Attack_Type,Percentage_Difference
Second_99,QBC,NetBIOS,197.70040383251336
Second_99,QBC,LDAP,-94.87464200091426
Second_99,QBC,MSSQL,13.616754391595492
Second_99,QBC,UDP,13.046615434188555
Second_99,QBC,UDPLag,-100.0
Second_99,QBC,Syn,3.5220693123055953
Third_99,KU_batch,Benign,-4.459619310253244
Third_99,KU_batch,Portmap,78.20470381378207
Third_99,KU_batch,NetBIOS,154.31740976415279
Third_99,KU_batch,LDAP,-89.52734797691612
Third_99,KU_batch,MSSQL,75.71894688338612
Third_99,KU_batch,UDP,41.35786654451275
Third_99,KU_batch,UDPLag,67.61904761904763
Third_99,KU_batch,Syn,-55.876501263719035
Third_99,KU_single,Benign,7.375383060513972
Third_99,KU_single,Portmap,40.770328177018634
Third_99,KU_single,NetBIOS,166.714310935069
Third_99,KU_single,LDAP,-94.29200134431458
Third_99,KU_single,MSSQL,14.100075004524864
Third_99,KU_single,UDP,-4.732034932549555
Third_99,KU_single,UDPLag,165.34798534798537
Third_99,KU_single,Syn,-13.192301949642053
Third_99,Predictproba_batch,Benign,-8.394911256487019
Third_99,Predictproba_batch,Portmap,76.06022485488236
Third_99,Predictproba_batch,NetBIOS,171.34240618602453
Third_99,Predictproba_batch,LDAP,-88.4802100442819
Third_99,Predictproba_batch,MSSQL,90.65312294249944
Third_99,Predictproba_batch,UDP,50.356956253494936
Third_99,Predictproba_batch,UDPLag,113.33333333333333
Third_99,Predictproba_batch,Syn,-56.196511054207875
Third_99,Predictproba_single,Benign,7.760602407772302
Third_99,Predictproba_single,Portmap,41.08453265956622
Third_99,Predictproba_single,NetBIOS,151.33336563483974
Third_99,Predictproba_single,LDAP,-95.23904492493466
Third_99,Predictproba_single,MSSQL,13.520865029703478
Third_99,Predictproba_single,UDP,-6.82841558909513
Third_99,Predictproba_single,UDPLag,281.1111111111111
Third_99,Predictproba_single,Syn,-11.871931979229748
Third_99,QBC,Benign,-7.8563068074722535
Third_99,QBC,Portmap,67.61354495072274
Third_99,QBC,NetBIOS,163.9603338468644
Third_99,QBC,LDAP,-94.1713236234875
Third_99,QBC,MSSQL,-2.345930807737746
Third_99,QBC,UDP,0.6589406774689085
Third_99,QBC,UDPLag,-100.0
Third_99,QBC,Syn,28.61066554268334
