Stage,Algorithm,Attack_Type,Percentage_Difference
Second_99,QBC,MSSQL,-38.6161274140958
Second_99,QBC,UDP,-7.5260564949372695
Second_99,QBC,UDPLag,inf
Second_99,QBC,Syn,13.827402236222245
Third_99,KU_batch,Benign,38.14309571079379
Third_99,KU_batch,Portmap,-37.853908793053876
Third_99,KU_batch,NetBIOS,-33.96355586996954
Third_99,KU_batch,LDAP,-56.45593927299222
Third_99,KU_batch,MSSQL,-49.892563778048114
Third_99,KU_batch,UDP,-42.54439694386366
Third_99,KU_batch,UDPLag,277.1428571428571
Third_99,KU_batch,Syn,-16.836166427934614
Third_99,KU_single,Benign,25.670712726767555
Third_99,KU_single,Portmap,0.11341410168575129
Third_99,KU_single,NetBIOS,27.412208136983097
Third_99,KU_single,LDAP,-57.62469475653679
Third_99,KU_single,MSSQL,-39.36217863395637
Third_99,KU_single,UDP,-11.446750061069544
Third_99,KU_single,UDPLag,816.6666666666663
Third_99,KU_single,Syn,-25.508097875918534
Third_99,Predictproba_batch,Benign,26.976135888432268
Third_99,Predictproba_batch,Portmap,-20.655787313949414
Third_99,Predictproba_batch,NetBIOS,-6.393126504718095
Third_99,Predictproba_batch,LDAP,-45.21982701926216
Third_99,Predictproba_batch,MSSQL,-33.603869702803685
Third_99,Predictproba_batch,UDP,-17.98583622723632
Third_99,Predictproba_batch,UDPLag,734.642857142857
Third_99,Predictproba_batch,Syn,-21.62122306869991
Third_99,Predictproba_single,Benign,24.672174539170243
Third_99,Predictproba_single,Portmap,1.774779827553765
Third_99,Predictproba_single,NetBIOS,47.15220806091521
Third_99,Predictproba_single,LDAP,-56.55121316572879
Third_99,Predictproba_single,MSSQL,-37.338788882599665
Third_99,Predictproba_single,UDP,-1.4293010910247892
Third_99,Predictproba_single,UDPLag,800.9523809523807
Third_99,Predictproba_single,Syn,-31.75628625875177
Third_99,QBC,Benign,10.62716637388163
Third_99,QBC,Portmap,10.299473573981851
Third_99,QBC,NetBIOS,16.8524625080347
Third_99,QBC,LDAP,-59.61667775896492
Third_99,QBC,MSSQL,-41.57318428242141
Third_99,QBC,UDP,-3.503700761631326
Third_99,QBC,UDPLag,571.7857142857142
Third_99,QBC,Syn,10.504147177257494
