Stage,Algorithm,Attack_Type,KL_Contribution
Second_99,QBC,Portmap,11.306142261569134
Second_99,QBC,NetBIOS,2.9795405372399286
Second_99,QBC,LDAP,-2.380464498851242
Second_99,QBC,MSSQL,-0.1924485270386362
Second_99,QBC,UDP,-3.4007984252126326
Second_99,QBC,UDPLag,-0.0027249496340842247
Second_99,QBC,Syn,3.0350211318131617
Third_99,KU_batch,Benign,5.891750078784854
Third_99,KU_batch,Portmap,11.591167160227657
Third_99,KU_batch,NetBIOS,2.7353967264280916
Third_99,KU_batch,LDAP,-0.2679130204501502
Third_99,KU_batch,MSSQL,-0.056652610141156336
Third_99,KU_batch,UDP,-3.619935069806148
Third_99,KU_batch,UDPLag,-0.0022633590193176984
Third_99,KU_batch,Syn,-5.764679367193498
Third_99,KU_single,Benign,7.290580316883452
Third_99,KU_single,Portmap,4.209206639116456
Third_99,KU_single,NetBIOS,2.5331111559712753
Third_99,KU_single,LDAP,-2.666061486452098
Third_99,KU_single,MSSQL,-0.28059532009374444
Third_99,KU_single,UDP,-3.642722666250815
Third_99,KU_single,UDPLag,-0.002804843819108062
Third_99,KU_single,Syn,-0.4437541973347849
Third_99,Predictproba_batch,Benign,5.391671735753237
Third_99,Predictproba_batch,Portmap,9.194419961254214
Third_99,Predictproba_batch,NetBIOS,2.4239545797083104
Third_99,Predictproba_batch,LDAP,-0.6405063414403526
Third_99,Predictproba_batch,MSSQL,-0.5099608712890213
Third_99,Predictproba_batch,UDP,-3.6302256635990875
Third_99,Predictproba_batch,UDPLag,-0.003320680751270743
Third_99,Predictproba_batch,Syn,-4.3241109756049205
Third_99,Predictproba_single,Benign,6.8552368803273875
Third_99,Predictproba_single,Portmap,3.7835279218996813
Third_99,Predictproba_single,NetBIOS,2.4279514413697307
Third_99,Predictproba_single,LDAP,-2.670141336299833
Third_99,Predictproba_single,MSSQL,-0.4070830403907309
Third_99,Predictproba_single,UDP,-3.626339715367844
Third_99,Predictproba_single,UDPLag,-0.004191725900918495
Third_99,Predictproba_single,Syn,0.5905037344324015
Third_99,QBC,Benign,-1.6277575968597304
Third_99,QBC,Portmap,6.599683057940423
Third_99,QBC,NetBIOS,2.243151828618066
Third_99,QBC,LDAP,-2.6168750301508608
Third_99,QBC,MSSQL,-1.362532837724072
Third_99,QBC,UDP,-3.456102811650697
Third_99,QBC,UDPLag,-0.002804843819108062
Third_99,QBC,Syn,9.904832183316495
