Stage,Algorithm,Attack_Type,KL_Contribution
Second_99,Predictproba_single,UDPLag,-0.008873031950009028
Second_99,Predictproba_single,Syn,-3.622890030204883
Second_99,QBC,Benign,-1.1580000633224474
Second_99,QBC,Portmap,-0.7050207024783786
Second_99,QBC,NetBIOS,0.17151042881625092
Second_99,QBC,LDAP,-2.7189253115125225
Second_99,QBC,MSSQL,1.7533412234418329
Second_99,QBC,UDP,0.4895171194817516
Second_99,QBC,UDPLag,0.011561674949219027
Second_99,QBC,Syn,3.820663268028486
Third_99,KU_batch,Benign,8.416906221470473
Third_99,KU_batch,Portmap,-2.6101976225979517
Third_99,KU_batch,NetBIOS,-0.08093942338929057
Third_99,KU_batch,LDAP,-1.6387912131308944
Third_99,KU_batch,MSSQL,1.5484698448216325
Third_99,KU_batch,UDP,3.5319194168589063
Third_99,KU_batch,UDPLag,0.07332813222668703
Third_99,KU_batch,Syn,-5.079348712474486
Third_99,KU_single,Benign,8.14155972153186
Third_99,KU_single,Portmap,-1.6983393000105294
Third_99,KU_single,NetBIOS,0.018223469304958766
Third_99,KU_single,LDAP,-2.945238197024172
Third_99,KU_single,MSSQL,1.721152766416598
Third_99,KU_single,UDP,-1.2428446833844204
Third_99,KU_single,UDPLag,0.033752090907974056
Third_99,KU_single,Syn,-1.1506201532415778
Third_99,Predictproba_batch,Benign,6.971099287280594
Third_99,Predictproba_batch,Portmap,-2.2771495347981805
Third_99,Predictproba_batch,NetBIOS,-0.17604801113657675
Third_99,Predictproba_batch,LDAP,-1.849112673316519
Third_99,Predictproba_batch,MSSQL,1.9864794014334712
Third_99,Predictproba_batch,UDP,5.005017986630624
Third_99,Predictproba_batch,UDPLag,0.05907908366005615
Third_99,Predictproba_batch,Syn,-5.235779252417644
Third_99,Predictproba_single,Benign,7.434005692964675
Third_99,Predictproba_single,Portmap,-1.6649292298333738
Third_99,Predictproba_single,NetBIOS,0.11271420467417624
Third_99,Predictproba_single,LDAP,-2.935759904948959
Third_99,Predictproba_single,MSSQL,2.342407569214064
Third_99,Predictproba_single,UDP,-1.2184953420219862
Third_99,Predictproba_single,UDPLag,-0.004581975122006942
Third_99,Predictproba_single,Syn,-1.2334202399743663
Third_99,QBC,Benign,-0.9922261064732931
Third_99,QBC,Portmap,-1.177843281016139
Third_99,QBC,NetBIOS,0.057913790401095094
Third_99,QBC,LDAP,-2.893003543416573
Third_99,QBC,MSSQL,0.3321826786535995
Third_99,QBC,UDP,-1.1586644867171056
Third_99,QBC,UDPLag,0.007356389361273102
Third_99,QBC,Syn,9.146321285890842
