Stage,Algorithm,Attack_Type,KL_Contribution
Second_99,Predictproba_single,Syn,-4.2118460999462295
Second_99,QBC,Benign,6.650865463557402
Second_99,QBC,Portmap,-0.19596499417614044
Second_99,QBC,NetBIOS,0.01392219813256298
Second_99,QBC,LDAP,-2.8779525763885494
Second_99,QBC,MSSQL,-2.2750007698509305
Second_99,QBC,UDP,-0.6958621371370601
Second_99,QBC,UDPLag,0.20245979288432867
Second_99,QBC,Syn,2.4737310398647008
Third_99,KU_batch,Benign,21.721653998429638
Third_99,KU_batch,Portmap,-2.4034292499558867
Third_99,KU_batch,NetBIOS,-0.2599135011096211
Third_99,KU_batch,LDAP,-2.6511032732901563
Third_99,KU_batch,MSSQL,-2.7495897466022434
Third_99,KU_batch,UDP,-3.1550782292338724
Third_99,KU_batch,UDPLag,0.04551270380903853
Third_99,KU_batch,Syn,-2.618002647649944
Third_99,KU_single,Benign,13.973674578818493
Third_99,KU_single,Portmap,0.009226006077114286
Third_99,KU_single,NetBIOS,0.29276786629459695
Third_99,KU_single,LDAP,-2.664374641435817
Third_99,KU_single,MSSQL,-2.408901653078204
Third_99,KU_single,UDP,-1.066747094595515
Third_99,KU_single,UDPLag,0.1846311430003679
Third_99,KU_single,Syn,-3.745751775449345
Third_99,Predictproba_batch,Benign,14.757375997554401
Third_99,Predictproba_batch,Portmap,-1.4925594704219387
Third_99,Predictproba_batch,NetBIOS,-0.05865749888190162
Third_99,Predictproba_batch,LDAP,-2.4143216405621764
Third_99,Predictproba_batch,MSSQL,-2.1593208408620184
Third_99,Predictproba_batch,UDP,-1.611418290681137
Third_99,Predictproba_batch,UDPLag,0.16099757890294722
Third_99,Predictproba_batch,Syn,-3.2604725205265894
Third_99,Predictproba_single,Benign,13.378660052357453
Third_99,Predictproba_single,Portmap,0.1455658617038641
Third_99,Predictproba_single,NetBIOS,0.5391676197380593
Third_99,Predictproba_single,LDAP,-2.652271964211966
Third_99,Predictproba_single,MSSQL,-2.3259496147219996
Third_99,Predictproba_single,UDP,-0.14061715238344125
Third_99,Predictproba_single,UDPLag,0.18004978173801378
Third_99,Predictproba_single,Syn,-4.452428562436749
Third_99,QBC,Benign,5.437056318511416
Third_99,QBC,Portmap,0.8790800714188791
Third_99,QBC,NetBIOS,0.17261511701021306
Third_99,QBC,LDAP,-2.68151681057272
Third_99,QBC,MSSQL,-2.4934072332536528
Third_99,QBC,UDP,-0.3410387474427288
Third_99,QBC,UDPLag,0.11632697773876233
Third_99,QBC,Syn,1.8847078734491964
